Query	Millis	PreMillis	JoinMillis	PostMillis	PreNoIndexMillis	JoinNoMatMillis	Tuples	nrFbacks	Iterations	Lookups	NrIndexEntries	nrUniqueLookups	NrUctNodes	NrPlans	JoinCard	NrSamples	AvgReward	MaxReward	TotalWork
9d.sql	2035	331	1606	75	260	1448	3373833	0	6420895	0	76317958346	699442	173	138	483082	12842	6.048123088856423E-4	0.6812614865067003	2.4311623247071106
9c.sql	309	237	67	0	184	66	166975	0	324167	0	11231468683	68963	126	97	8144	648	0.009455330529017203	0.681291642505519	1.7286719816735396
9b.sql	289	265	18	0	187	18	13127	0	26124	0	1025927214	7371	45	42	40	53	0.08140118964871879	0.8616849158227005	1.6961297373827648
9a.sql	358	332	21	0	207	21	16100	0	31931	0	1441064890	9191	52	49	121	64	0.06482791544588251	0.681278798035962	1.688206807148358
8d.sql	740	6	728	3	2	669	2126299	0	4065336	0	76411755237	622592	47	26	323005	8131	1.0131640598458241E-4	0.7872057223727628	1.7949179722013653
8c.sql	15411	6	15381	22	2	14795	18073885	0	34710455	0	7447262905551	4583983	61	42	2487611	69421	1.3273481923705474E-5	0.6657792730583233	1.7414808204540089
8b.sql	370	354	12	0	348	12	1137	0	2266	0	40206	535	6	5	6	4	0.001795584662913082	0.0042410293303481806	1.0069282733161722
8a.sql	169	150	16	0	141	16	38591	0	77028	0	1209272696	3096	17	14	62	155	0.045345777386238025	0.9120116672095834	2.012517066947729
7c.sql	1906	413	1488	1	286	1480	4014305	0	7563712	0	371872492	2965961	52	39	68185	15127	5.337881790137423E-4	0.4537488672132682	1.0004052149784133
7b.sql	236	227	7	0	145	6	3558	0	6752	0	326717	1942	15	15	16	14	0.03802937061281015	0.30990000129715223	1.0178371021431682
7a.sql	441	427	11	0	306	11	11676	0	22836	0	7457617	6558	36	30	32	45	0.009365934097324431	0.060538796913993054	1.2856531105584892
6f.sql	1130	115	1002	11	34	824	1631784	0	3234680	0	468118463	705	15	7	785477	6470	2.8130605054316535E-4	0.04140190428991969	1.0000807548399446
6e.sql	164	156	6	0	76	6	2762	0	5520	0	1111933	11	12	7	6	12	0.14519842762330507	0.6254843311631638	1.9203454297589357
6d.sql	154	144	8	0	65	8	7608	0	15134	0	2384912	483	11	6	88	31	0.025549620646832433	0.4999945883528985	1.0000756643116366
6c.sql	58	53	4	0	53	3	1054	0	2103	0	81534	16	6	5	2	4	0.13571403308031404	0.5428460782736197	1.0000097436451145
