Query	Millis	PreMillis	JoinMillis	PostMillis	PreNoIndexMillis	JoinNoMatMillis	Tuples	nrFbacks	Iterations	Lookups	NrIndexEntries	nrUniqueLookups	NrUctNodes	NrPlans	JoinCard	NrSamples	AvgReward	MaxReward	TotalWork
9d.sql	2199	308	1839	28	249	1719	4388014	0	8670956	0	76364397976	1145876	186	138	483082	17341	4.49862398241096E-4	0.6812653252935464	2.444893005180114
9c.sql	314	245	61	0	193	60	170709	0	333864	0	11985397748	64878	130	94	8144	667	0.009030239293997142	0.6812630197789519	1.732056232891998
9b.sql	212	187	20	0	122	19	12647	0	25199	0	883190391	7414	41	37	40	51	0.08214717140182112	0.8	1.6949291509764786
9a.sql	307	286	16	0	164	16	16590	0	32887	0	1423667946	10081	53	49	121	65	0.057573502393850944	0.6813549904190852	1.6881773692075808
8d.sql	762	6	751	3	2	691	2246931	0	4333903	0	76411401819	536970	58	34	323005	8667	9.504951227874071E-5	0.7872057223604323	1.7949098278003461
8c.sql	20894	6	20863	23	2	20207	33431272	0	65644931	0	6492096251805	7225434	105	68	2487611	131290	8.09828910935954E-5	0.6963788300835655	1.7318891416453814
8b.sql	285	267	13	0	262	13	1575	0	3123	0	7143092	532	8	7	6	6	0.10883517094271412	0.6268659931499473	1.650878375395582
8a.sql	176	151	21	0	142	21	37469	0	74904	0	1212964267	1848	18	16	62	150	0.04006304834627939	0.6264763925233338	2.014894843422191
7c.sql	1931	376	1549	1	246	1544	4292921	0	7837031	0	372668889	2965429	41	36	68185	15674	5.234001154293937E-4	0.49762681118102176	1.000408338148712
7b.sql	266	257	6	0	176	6	2994	0	5794	0	321550	2003	13	12	16	11	0.0386983354782195	0.3016459175417467	1.0169486016904574
7a.sql	420	408	9	0	302	9	7374	0	14477	0	3471034	5622	26	21	32	28	0.014688811457667043	0.09051903739144929	1.0050556499926893
6f.sql	1194	150	1031	11	71	856	1630871	0	3232852	0	467954190	680	15	7	785477	6466	2.828141553624991E-4	0.051118209428653326	1.0000276487628303
6e.sql	162	155	5	0	75	5	3211	0	6419	0	788964	46	12	7	6	12	0.10542938817966925	0.5404669767653626	1.9203394150273683
6d.sql	163	154	7	0	75	7	7608	0	15134	0	2423567	543	11	6	88	31	0.025553262575997843	0.4999945883672528	1.0000541192738612
6c.sql	64	58	4	0	57	4	302	0	603	0	1408	0	3	2	2	1	0.0	-Infinity	1.0
6b.sql	71	61	8	0	60	8	5345	0	10676	0	671758	103	12	7	12	21	0.1199757371179156	0.5413857451813875	1.0000619106768767
6a.sql	115	107	6	0	82	6	3417	0	6824	0	1124033	274	13	8	6	14	0.1673563232137352	0.5772129733531145	1.9209664286287234
5c.sql	292	282	7	0	146	7	3845	0	7598	0	19337920	2143	10	6	669	15	0.2203726234760865	0.9976670252799713	2.0178943799196762
5b.sql	251	245	4	0	178	4	1251	0	2502	0	265286907	1014	7	6	0	5	0.047904740193934	0.1763046544428773	1.1766498897414939
5a.sql	253	247	4	0	184	4	501	0	1002	0	0	251	4	3	0	2	1.2340559965248982E-4	2.4681119930497963E-4	1.0002458239545078
