Query	Millis	PreMillis	JoinMillis	PostMillis	PreNoIndexMillis	JoinNoMatMillis	Tuples	nrFbacks	Iterations	Lookups	NrIndexEntries	nrUniqueLookups	NrUctNodes	NrPlans	JoinCard	NrSamples	AvgReward	MaxReward	TotalWork
9d.sql	2647	565	1998	46	430	1659	3729920	0	7411520	0	76342192585	1026787	157	116	483082	14824	5.324223744705553E-4	0.6812439120110607	2.4448985378546886
9c.sql	780	666	105	0	584	103	145603	0	276059	0	9642464756	63794	118	93	8144	553	0.012256072008367687	0.9341563786008231	1.7222424184787493
9b.sql	759	718	30	0	561	29	13150	0	26224	0	1019693826	7391	42	38	40	52	0.0706030335102238	0.687820408013821	1.6960371234424136
9a.sql	881	849	25	0	646	24	16057	0	31768	0	1386939302	9314	45	40	121	64	0.06728124000867629	0.762341058695366	1.6881045273007542
8d.sql	1051	22	1023	3	13	890	2069918	0	3952828	0	76423638025	623435	43	30	323005	7906	1.0419373197279723E-4	0.7872053190305023	1.7948713259781073
8c.sql	15300	17	15260	19	13	14536	32379197	0	62860887	0	6363202919226	7931210	96	67	2487611	125722	8.488509084447551E-5	0.7183908045977011	1.730581503895626
8b.sql	596	569	20	0	561	20	1816	0	3610	0	7155978	1086	9	9	6	8	0.16421885332718292	0.638521326141499	1.67309417936828
8a.sql	364	334	27	0	320	27	38805	0	77588	0	1217113151	3127	17	14	62	155	0.040613794885511145	0.6274269100306897	2.0131305313218197
7c.sql	2270	567	1695	0	351	1671	2466551	0	4852308	0	327876018	1414541	30	25	68185	9705	6.762724637350467E-4	0.5640096278756039	1.000660331434891
7b.sql	313	276	32	0	152	32	4368	0	8417	0	876538	2735	18	17	16	16	0.025012533929798526	0.3237087251630882	1.0276425700503171
7a.sql	520	485	21	1	298	21	21543	0	42587	0	11280207	5057	31	26	32	85	0.028572732738319076	0.38687462405901457	1.013141278094022
6f.sql	30413	267	30133	10	115	29823	1622008	0	3215112	0	467552079	686	10	6	785477	6430	2.848370897588407E-4	0.04518591651404842	1.0000802749348892
6e.sql	270	259	9	0	147	8	2663	0	5324	0	934289	484	11	7	6	11	0.16748777265829082	0.5772129693019117	1.9203393322558329
6d.sql	283	269	11	0	112	11	7597	0	15113	0	2419828	649	11	7	88	30	0.026405032504568934	0.4999945883524474	1.000140041237577
6c.sql	160	150	8	0	150	8	1534	0	3068	0	191518	3	7	7	2	6	0.10391723775366558	0.49681099501306264	1.5767813240426365
6b.sql	166	155	8	0	155	8	3365	0	6715	0	643534	354	11	7	12	13	0.12787891977035656	0.3602682446497533	1.0000619106768767
6a.sql	144	133	9	0	106	9	2762	0	5520	0	983220	10	11	7	6	12	0.1452014530337414	0.6254843336861704	1.9203827400408804
5c.sql	718	706	8	0	394	8	4071	0	8130	0	10761865	2328	11	6	669	16	0.20608255755206512	0.9976101578446739	2.0178480069368256
5b.sql	408	399	6	0	242	6	751	0	1502	0	130486882	574	5	4	0	3	0.02091164275170923	0.06216811877970731	1.0536616014123286
5a.sql	729	720	6	0	621	6	752	0	1502	0	18805786	702	5	4	0	3	0.00893654317765948	0.026562818333673462	1.0179449389987556
4c.sql	631	597	32	0	169	31	38522	0	71124	0	171681428	8980	15	7	4700	142	0.006778910492305427	0.2365204656685222	1.0006836664212602
4b.sql	95	85	7	1	53	7	11381	0	22461	0	2847819	392	13	10	6	44	0.07140271771467539	0.5071868583162218	1.0005580202189837
4a.sql	395	372	21	0	127	20	19123	0	37254	0	142586239	5114	14	7	740	74	0.009493110755641396	0.23004721835364403	1.0005446480787932
3c.sql	546	516	27	0	290	26	29845	0	58548	0	113304837	14656	10	5	7250	117	0.007639022292070285	0.1958243914667223	1.000313513269498
3b.sql	114	105	7	0	78	7	4812	0	9616	0	2931143	660	10	6	5	20	0.13833312261440428	0.8909774436090225	1.0006907864024155
3a.sql	515	355	158	0	225	158	375681	0	751023	0	78590357	72496	15	7	206	1502	0.004549886408102438	0.6728325200033511	1.0002204392808387
33c.sql	484	438	39	0	124	38	46297	0	91416	0	1414761050	38861	121	110	114	182	0.026787752069597378	0.6137975499677628	2.0020455184912263
33b.sql	348	325	18	0	120	18	8034	0	15752	0	79580813	2053	33	32	4	31	0.03203882667890063	0.16246779751748133	1.0523413372125758
33a.sql	261	234	20	0	64	20	11447	0	22140	0	16998670	2906	47	46	8	45	0.022391050224175046	0.12437885609471404	1.0086363540017345
32b.sql	142	0	140	0	0	139	446875	0	887575	0	101107625	43275	50	23	4388	1775	0.0035222131661389886	0.5661286724835027	1.224246981931311
