Query	Millis	PreMillis	JoinMillis	PostMillis	PreNoIndexMillis	JoinNoMatMillis	Tuples	nrFbacks	Iterations	Lookups	NrIndexEntries	nrUniqueLookups	NrUctNodes	NrPlans	JoinCard	NrSamples	AvgReward	MaxReward	TotalWork
9.sql	11746	0	9790	424	0	8562	0	0	0	0	0	0	0	0	2542733	0	4.25129875101877E-5	0.013466216328980068	1.0749423333333334
8.sql	2245	0	1036	32	0	949	0	0	0	0	0	0	0	0	91038	0	9.154346910404714E-4	0.6607426280974866	1.2766715447812262
7.sql	2141	0	1747	23	0	1732	0	0	0	0	0	0	0	0	75200	0	1.2677051700792918E-4	0.8448770838242895	1.2400738006172904
6.sql	951	941	1747	8	941	1732	0	0	0	0	0	0	0	0	75200	0	1.2677051700792918E-4	0.8448770838242895	1.2400738006172904
5.sql	1559	515	1025	16	483	982	1698182	0	3416527	0	48037808615	1561064	22	15	120311	6834	2.535469209293333E-4	0.35844649020238095	1.0001098427929946
4.sql	1570	1035	180	23	115	165	332588	0	503072	0	512684	52298	3	1	162012	1006	0.006763261927938046	0.6343268178042035	1.0
3.sql	1402	1184	126	90	288	110	184463	0	317820	0	690114268	66758	6	3	78911	636	0.009797262496450528	0.78125	1.0003813110819073
21.sql	4369	2606	1482	14	230	1476	2118850	0	4117483	0	74601496498	181587	12	8	33699	8235	9.30396831746739E-4	0.5819545976310313	1.9998243282700678
20.sql	1160	4	11	16	0	9	26506	0	30256	0	3616060	526	6	3	24001	60	0.06373218813508902	0.5778833160545227	1.9883186865267433
2.sql	177	30	9	0	12	9	376	0	760	0	557427	329	3	2	20	1	0.0	-Infinity	1.0
19.sql	303	219	67	1	183	66	123718	0	370908	0	123716	123676	4	2	18	741	0.008423915809266425	0.5231908054930224	1.00096
18.sql	2960	1	1261	416	0	998	3487543	0	5276675	0	495303646664	1690076	22	10	1500000	10554	8.286655201770234E-4	0.805367886586248	1.0387735
17.sql	1558	30	319	1	6	319	4410	0	2557126	0	369732596569	4418	8	4	0	5114	3.9728232943810613E-4	0.2500115779437186	1.0
16.sql	534	53	153	308	49	114	319967	0	669761	0	1089807	579492	5	2	289514	1339	0.004493210487931674	0.5555679704150992	1.00026125
14.sql	414	377	25	10	374	21	71440	0	107277	0	35634	35836	4	2	35472	214	0.023776133829706145	0.5574780064562438	1.001175
12.sql	788	715	46	24	710	37	157854	0	236906	0	78807	79052	4	2	78651	473	0.012246023450081354	0.5235109717868338	1.000166
11.sql	224	1	87	45	1	47	155704	0	160704	0	2814257551	831	12	6	152080	322	0.01645511295749976	0.7990195890574501	1.9986899999999999
10.sql	1370	740	380	248	108	261	699357	0	1078348	0	26445197589	130274	9	5	433344	2156	0.0013146445861744115	0.050514900018947664	1.0013643082410715
1.sql	2192	278	380	1911	278	261	0	0	0	0	0	0	0	0	433344	0	0.0013146445861744115	0.050514900018947664	1.0013643082410715
