Query	Millis	PreMillis	JoinMillis	PostMillis	PreNoIndexMillis	JoinNoMatMillis	Tuples	nrFbacks	Iterations	Lookups	NrIndexEntries	nrUniqueLookups	NrUctNodes	NrPlans	JoinCard	NrSamples	AvgReward	MaxReward	TotalWork
9.sql	2656	0	1981	160	0	1826	0	0	0	0	0	0	0	0	319404	0	0.0011058090163485032	0.3238459342801134	1.0000529979079236
8.sql	573	0	91	5	0	87	0	0	0	0	0	0	0	0	2603	0	0.012833160955554972	0.5262041146550268	1.0001299181665022
7.sql	637	0	284	8	0	272	0	0	0	0	0	0	0	0	5924	0	2.0312950608060068E-4	0.25120512047935795	1.000067944342658
6.sql	625	617	284	4	616	272	0	0	0	0	0	0	0	0	5924	0	2.0312950608060068E-4	0.25120512047935795	1.000067944342658
5.sql	1087	139	939	4	121	931	1394904	0	2965355	0	1381775501	708	14	10	7243	5930	2.6219791571522417E-4	0.35730958307372956	1.8002992655845764
4.sql	1381	941	71	11	122	66	110043	0	167418	0	145275	17506	3	1	52523	334	0.0162808882850565	0.521092970207986	1.0
3.sql	882	681	155	44	198	138	208283	0	397665	0	1448670	149925	6	3	30519	796	0.008760614211515964	0.8014871883945728	1.0003586458630782
21.sql	2516	2030	294	5	194	293	324021	0	584122	0	60195268	29097	13	9	4141	1168	0.0037763704923242667	0.20787621886207727	1.0000879500409954
20.sql	1190	1	2	1	0	2	1296	0	2475	0	194577	420	6	3	263	5	0.21723999139848843	0.6493248598888012	1.8128583576204353
2.sql	251	37	25	1	10	25	6134	0	12423	0	253956	1043	18	8	460	24	0.10240184436194648	0.5574556478318631	1.200507124708317
19.sql	453	143	296	0	122	295	200356	0	614922	0	444526	141979	4	2	121	1230	0.005816717709377177	0.6965851383310642	1.000769672119677
18.sql	761	1	5	6	1	5	1512	0	2652	0	5693	567	7	5	399	6	0.20883730920430862	0.9128204232999363	1.0003331638659838
17.sql	2337	32	9	0	7	9	1230	0	8562	0	196715	363	7	4	587	17	0.15121249460198052	0.6427703629932693	1.0
16.sql	462	74	86	277	72	75	148284	0	326129	0	118596	236778	5	2	118274	652	0.009679926449704196	0.6133178797596945	1.00023125
14.sql	308	241	51	14	232	41	152428	0	228744	0	105	199	4	2	75983	457	0.012857892295848864	0.571917808219178	1.00105
12.sql	299	257	27	12	253	21	62533	0	93923	0	3	249	4	2	30988	187	0.025935877079982395	0.5155616266858397	1.0001653333333334
11.sql	74	0	25	23	0	18	64799	0	97667	0	2711692	0	9	5	31680	196	0.027486224685103124	0.8244501383986127	1.99913
10.sql	683	424	143	114	147	107	286894	0	505772	0	1085612	23865	9	6	114705	1011	0.006572920183989515	0.5624128426411598	1.000772247864924
1.sql	2267	283	143	1980	283	107	0	0	0	0	0	0	0	0	114705	0	0.006572920183989515	0.5624128426411598	1.000772247864924
