Query	Millis	PreMillis	JoinMillis	PostMillis	PreNoIndexMillis	JoinNoMatMillis	Tuples	nrFbacks	Iterations	Lookups	NrIndexEntries	nrUniqueLookups	NrUctNodes	NrPlans	JoinCard	NrSamples	AvgReward	MaxReward	TotalWork
9.sql	3496	0	2482	182	0	2147	0	0	0	0	0	0	0	0	979921	0	4.3147426100951744E-4	0.37265428770492554	1.0000134171900679
8.sql	456	0	173	5	0	170	0	0	0	0	0	0	0	0	7644	0	0.005178311147480432	0.4511547645502521	1.0000494273702039
7.sql	1746	1	908	6	1	890	0	0	0	0	0	0	0	0	17331	0	1.0572445289088349E-4	0.30193940798932106	1.2400025490295263
6.sql	388	379	908	8	379	890	0	0	0	0	0	0	0	0	17331	0	1.0572445289088349E-4	0.30193940798932106	1.2400025490295263
5.sql	2297	163	2127	4	113	2123	4560499	0	9695063	0	2416566172	1273	31	19	22028	19391	8.470298050987746E-5	0.35724122328016783	1.800054176007905
4.sql	3085	1292	112	17	243	105	331350	0	504180	0	436901	52933	3	1	158414	1008	0.006664367540799512	0.5916955017301039	1.0
3.sql	2170	1815	267	86	1027	254	621629	0	1187422	0	4346931	449453	6	3	90026	2375	0.0032032101564929993	0.667359966271757	1.0001157774710612
21.sql	23158	20764	714	5	18179	713	1121093	0	2180154	0	181731730	33230	12	7	12426	4361	0.001626933823608802	0.8540644690516421	1.999801155256418
20.sql	2807	2	3	1	0	3	2557	0	4882	0	1543526	1140	6	3	741	10	0.2129768018900109	0.7308518386216739	1.9535972011340068
2.sql	443	99	28	1	7	27	15952	0	32533	0	581391	2514	17	8	1419	65	0.059200093216536166	0.6777861797276747	1.200132235218749
19.sql	555	243	303	1	178	302	600623	0	1844572	0	1334404	425179	4	2	364	3689	0.0022004448114234386	0.6338582677165354	1.0002562302780331
18.sql	1440	0	4	5	0	4	2846	0	4496	0	12617	464	8	5	1253	9	0.1848541440382421	0.6581573512685375	1.0000722790862804
17.sql	5362	75	8	1	5	8	3524	0	22078	0	572517	754	7	4	1632	44	0.08027606387900989	0.5847999259753239	1.0004288359398708
16.sql	1381	71	186	1108	65	161	445322	0	979453	0	356472	711632	5	2	355733	1959	0.0038634315653795033	0.6865644836242196	1.0000770833333332
14.sql	406	258	125	21	228	104	449704	0	674660	0	123	194	4	2	224637	1349	0.005207247846677743	0.6007194244604317	1.0003466666666667
12.sql	488	416	53	17	405	47	186826	0	280364	0	3	250	4	2	93144	560	0.010696861073507336	0.5352564102564102	1.0000553333333333
11.sql	112	1	41	23	1	25	98220	0	101608	0	9072572	0	10	6	95680	204	0.027253391930040803	0.7612177461575731	1.99920875
10.sql	1133	520	368	243	98	326	967310	0	1737671	0	8100265636	486435	9	5	344528	3475	8.208707889550866E-4	0.004809915518008003	1.0006632591411333
1.sql	3784	403	368	3379	403	326	0	0	0	0	0	0	0	0	344528	0	8.208707889550866E-4	0.004809915518008003	1.0006632591411333
