Query,IsWarmup,Millis,PreMillis,JoinMillis,MatMillis,PostMillis,FilterMillis,IndexMillis,GroupByMillis,AggregateMillis,HavingMillis,OrderMillis,Tuples,Samples,Lookups,NrIndexEntries,nrUniqueLookups,NrPlans,JoinCard,AvgReward,MaxReward,TotalWork,DataSize,UctSize,StateSize,JoinSize
33c.sql,true,7576,471,136,23,0,46,425,0,0,0,0,0,38,0,0,0,0,114,0.0,0.0,0.0,0,0,0,0
33c.sql,false,373,229,127,17,0,28,201,0,0,0,0,0,42,0,0,0,0,114,0.0,0.0,0.0,0,0,0,0
33b.sql,true,138,80,57,1,0,47,33,0,0,0,0,0,22,0,0,0,0,4,0.0,0.0,0.0,0,0,0,0
33b.sql,false,106,47,45,14,0,17,30,0,0,0,0,0,21,0,0,0,0,4,0.0,0.0,0.0,0,0,0,0
33a.sql,true,140,44,83,13,0,22,22,0,0,0,0,0,37,0,0,0,0,8,0.0,0.0,0.0,0,0,0,0
33a.sql,false,73,43,17,12,0,21,22,0,0,0,0,0,19,0,0,0,0,8,0.0,0.0,0.0,0,0,0,0
32b.sql,true,188,1,181,5,1,1,0,0,1,0,0,0,104,0,0,0,0,4388,0.0,0.0,0.0,0,0,0,0
32b.sql,false,39,1,33,4,1,1,0,0,1,0,0,0,102,0,0,0,0,4388,0.0,0.0,0.0,0,0,0,0
32a.sql,true,4,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
32a.sql,false,3,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
31c.sql,true,223,211,8,3,0,167,44,0,0,0,0,0,112,0,0,0,0,2825,0.0,0.0,0.0,0,0,0,0
31c.sql,false,159,147,9,2,1,103,44,0,1,0,0,0,91,0,0,0,0,2825,0.0,0.0,0.0,0,0,0,0
31b.sql,true,152,148,4,0,0,90,58,0,0,0,0,0,17,0,0,0,0,84,0.0,0.0,0.0,0,0,0,0
31b.sql,false,134,129,4,1,0,81,48,0,0,0,0,0,23,0,0,0,0,84,0.0,0.0,0.0,0,0,0,0
31a.sql,true,98,90,6,1,1,45,45,0,1,0,0,0,59,0,0,0,0,1273,0.0,0.0,0.0,0,0,0,0
31a.sql,false,98,90,6,2,0,45,45,0,0,0,0,0,67,0,0,0,0,1273,0.0,0.0,0.0,0,0,0,0
30c.sql,true,130,92,33,5,0,45,47,0,0,0,0,0,290,0,0,0,0,8024,0.0,0.0,0.0,0,0,0,0
30c.sql,false,131,92,30,7,1,46,46,0,1,0,0,0,267,0,0,0,0,8024,0.0,0.0,0.0,0,0,0,0
30b.sql,true,607,595,4,7,1,557,38,0,1,0,0,0,18,0,0,0,0,28,0.0,0.0,0.0,0,0,0,0
30b.sql,false,85,72,5,7,1,38,34,0,1,0,0,0,18,0,0,0,0,28,0.0,0.0,0.0,0,0,0,0
30a.sql,true,107,61,38,8,0,26,35,0,0,0,0,0,42,0,0,0,0,757,0.0,0.0,0.0,0,0,0,0
30a.sql,false,85,61,22,2,0,27,34,0,0,0,0,0,268,0,0,0,0,757,0.0,0.0,0.0,0,0,0,0
29c.sql,true,799,738,34,26,1,596,142,0,1,0,0,0,874,0,0,0,0,16308,0.0,0.0,0.0,0,0,0,0
29c.sql,false,501,451,35,15,0,408,43,0,0,0,0,0,781,0,0,0,0,16308,0.0,0.0,0.0,0,0,0,0
29b.sql,true,280,275,4,0,0,235,40,0,0,0,0,0,22,0,0,0,0,15,0.0,0.0,0.0,0,0,0,0
29b.sql,false,276,272,3,1,0,232,40,0,0,0,0,0,14,0,0,0,0,15,0.0,0.0,0.0,0,0,0,0
29a.sql,true,452,448,3,1,0,407,41,0,0,0,0,0,17,0,0,0,0,1620,0.0,0.0,0.0,0,0,0,0
29a.sql,false,460,455,4,1,0,413,42,0,0,0,0,0,17,0,0,0,0,1620,0.0,0.0,0.0,0,0,0,0
28c.sql,true,124,96,19,9,0,51,45,0,0,0,0,0,363,0,0,0,0,8373,0.0,0.0,0.0,0,0,0,0
28c.sql,false,122,96,19,7,0,49,47,0,0,0,0,0,283,0,0,0,0,8373,0.0,0.0,0.0,0,0,0,0
28b.sql,true,94,71,23,0,0,43,28,0,0,0,0,0,292,0,0,0,0,148,0.0,0.0,0.0,0,0,0,0
28b.sql,false,84,70,13,0,1,44,26,0,1,0,0,0,212,0,0,0,0,148,0.0,0.0,0.0,0,0,0,0
28a.sql,true,123,100,18,4,0,54,46,0,0,0,0,0,348,0,0,0,0,4803,0.0,0.0,0.0,0,0,0,0
28a.sql,false,119,98,18,3,0,51,47,0,0,0,0,0,305,0,0,0,0,4803,0.0,0.0,0.0,0,0,0,0
27c.sql,true,100,94,6,0,0,36,58,0,0,0,0,0,51,0,0,0,0,743,0.0,0.0,0.0,0,0,0,0
27c.sql,false,90,85,3,1,0,32,53,0,0,0,0,0,37,0,0,0,0,743,0.0,0.0,0.0,0,0,0,0
27b.sql,true,65,61,2,1,0,18,43,0,0,0,0,0,25,0,0,0,0,247,0.0,0.0,0.0,0,0,0,0
27b.sql,false,63,58,2,1,0,17,41,0,0,0,0,0,26,0,0,0,0,247,0.0,0.0,0.0,0,0,0,0
27a.sql,true,68,64,3,1,0,24,40,0,0,0,0,0,29,0,0,0,0,477,0.0,0.0,0.0,0,0,0,0
27a.sql,false,75,71,4,0,0,25,46,0,0,0,0,0,34,0,0,0,0,477,0.0,0.0,0.0,0,0,0,0
26c.sql,true,401,63,332,6,0,56,7,0,0,0,0,0,2563,0,0,0,0,5400,0.0,0.0,0.0,0,0,0,0
26c.sql,false,130,69,57,3,1,59,10,0,1,0,0,0,1536,0,0,0,0,5400,0.0,0.0,0.0,0,0,0,0
26b.sql,true,108,70,37,1,0,62,8,0,0,0,0,0,574,0,0,0,0,93,0.0,0.0,0.0,0,0,0,0
26b.sql,false,98,69,28,0,0,60,9,0,0,0,0,0,416,0,0,0,0,93,0.0,0.0,0.0,0,0,0,0
26a.sql,true,120,78,41,1,0,62,16,0,0,0,0,0,730,0,0,0,0,1728,0.0,0.0,0.0,0,0,0,0
26a.sql,false,123,77,45,1,0,61,16,0,0,0,0,0,727,0,0,0,0,1728,0.0,0.0,0.0,0,0,0,0
25c.sql,true,97,55,27,15,0,21,34,0,0,0,0,0,346,0,0,0,0,26153,0.0,0.0,0.0,0,0,0,0
25c.sql,false,93,65,24,4,0,24,41,0,0,0,0,0,284,0,0,0,0,26153,0.0,0.0,0.0,0,0,0,0
25b.sql,true,82,74,1,7,0,37,37,0,0,0,0,0,1,0,0,0,0,6,0.0,0.0,0.0,0,0,0,0
25b.sql,false,80,70,1,9,0,33,37,0,0,0,0,0,1,0,0,0,0,6,0.0,0.0,0.0,0,0,0,0
25a.sql,true,82,60,19,2,0,24,36,0,0,0,0,0,162,0,0,0,0,4407,0.0,0.0,0.0,0,0,0,0
25a.sql,false,70,49,20,1,0,16,33,0,0,0,0,0,167,0,0,0,0,4407,0.0,0.0,0.0,0,0,0,0
24b.sql,true,469,462,2,5,0,414,48,0,0,0,0,0,1,0,0,0,0,45,0.0,0.0,0.0,0,0,0,0
24b.sql,false,563,554,3,6,0,516,38,0,0,0,0,0,18,0,0,0,0,45,0.0,0.0,0.0,0,0,0,0
24a.sql,true,569,554,15,0,0,513,41,0,0,0,0,0,167,0,0,0,0,275,0.0,0.0,0.0,0,0,0,0
24a.sql,false,485,474,9,1,0,434,40,0,0,0,0,0,155,0,0,0,0,275,0.0,0.0,0.0,0,0,0,0
23c.sql,true,77,74,2,1,0,63,11,0,0,0,0,0,22,0,0,0,0,628,0.0,0.0,0.0,0,0,0,0
23c.sql,false,76,73,2,1,0,63,10,0,0,0,0,0,19,0,0,0,0,628,0.0,0.0,0.0,0,0,0,0
