Query,IsWarmup,Millis,PreMillis,JoinMillis,MatMillis,PostMillis,FilterMillis,IndexMillis,GroupByMillis,AggregateMillis,HavingMillis,OrderMillis,Tuples,Samples,Lookups,NrIndexEntries,nrUniqueLookups,NrPlans,JoinCard,AvgReward,MaxReward,TotalWork,DataSize,UctSize,StateSize,JoinSize
9d.sql,true,1669,547,1068,217,32,0,0,0,0,0,0,0,16339,0,0,0,0,483082,0.029736017006130443,0.35962082197956075,1.0,0,0,0,0
9c.sql,true,291,238,47,2,0,0,0,0,0,0,0,0,543,0,0,0,0,8144,0.021398635724829782,0.47005816494447,1.0,0,0,0,0
9b.sql,true,342,330,4,1,0,0,0,0,0,0,0,0,42,0,0,0,0,40,0.04806289364983229,0.3438435513348058,1.0,0,0,0,0
9a.sql,true,360,350,5,0,0,0,0,0,0,0,0,0,52,0,0,0,0,121,0.03839931631944166,0.3406655162038878,1.0,0,0,0,0
8d.sql,true,585,35,545,86,3,0,0,0,0,0,0,0,10199,0,0,0,0,323005,0.03166905044777898,0.42060281891811424,1.0,0,0,0,0
8c.sql,true,5517,36,5459,872,21,0,0,0,0,0,0,0,119045,0,0,0,0,2487611,0.02086083068818539,0.37288964731525265,1.0,0,0,0,0
8b.sql,true,337,330,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0.0056574560929726425,0.014652444027663815,1.0,0,0,0,0
8a.sql,true,176,168,4,0,0,0,0,0,0,0,0,0,112,0,0,0,0,62,0.02351136366912126,0.3531073446327684,1.0,0,0,0,0
7c.sql,true,1099,437,656,15,0,0,0,0,0,0,0,0,10595,0,0,0,0,68185,0.0066409417742725515,0.10000000000002283,1.0,0,0,0,0
7b.sql,true,213,207,3,0,0,0,0,0,0,0,0,0,29,0,0,0,0,16,0.02073829041299394,0.3199482025486357,1.0,0,0,0,0
7a.sql,true,344,249,90,0,1,0,0,0,0,0,0,0,2251,0,0,0,0,32,0.0017858002259373868,0.38109756097560976,1.0,0,0,0,0
6f.sql,true,1048,229,806,225,11,0,0,0,0,0,0,0,6590,0,0,0,0,785477,0.11911520480176299,0.1610000000000033,1.0,0,0,0,0
6e.sql,true,204,199,4,0,0,0,0,0,0,0,0,0,112,0,0,0,0,6,0.010389153472105435,0.3146820073933527,1.0,0,0,0,0
6d.sql,true,314,260,51,0,0,0,0,0,0,0,0,0,1024,0,0,0,0,88,5.501884873411E-4,0.27542191327811427,1.0,0,0,0,0
6c.sql,true,54,51,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0.0,-Infinity,1.0,0,0,0,0
6b.sql,true,62,58,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,12,0.03096665352502036,0.26199822729743977,1.0,0,0,0,0
6a.sql,true,101,92,7,1,0,0,0,0,0,0,0,0,110,0,0,0,0,6,0.010703355396873122,0.315425455522975,1.0,0,0,0,0
5c.sql,true,363,357,2,0,0,0,0,0,0,0,0,0,21,0,0,0,0,669,0.1206232309809441,0.5398216070848635,1.0,0,0,0,0
5b.sql,true,208,206,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0.017748525707095317,0.08815232722143865,1.0,0,0,0,0
5a.sql,true,316,313,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4.0611577873512806E-4,8.122315574702561E-4,1.0,0,0,0,0
4c.sql,true,323,304,16,0,1,0,0,0,0,0,0,0,195,0,0,0,0,4700,0.027019580427181313,0.19256998725708627,1.0,0,0,0,0
4b.sql,true,85,82,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,6,0.047405256836760494,0.21552525566530883,1.0,0,0,0,0
4a.sql,true,191,181,8,0,0,0,0,0,0,0,0,0,113,0,0,0,0,740,0.011028976947872032,0.17705747088321228,1.0,0,0,0,0
3c.sql,true,345,329,12,1,0,0,0,0,0,0,0,0,151,0,0,0,0,7250,0.05041140956185139,0.15026779639155677,1.0,0,0,0,0
3b.sql,true,74,72,1,0,0,0,0,0,0,0,0,0,24,0,0,0,0,5,0.046569705190659054,0.26383727098162235,1.0,0,0,0,0
3a.sql,true,177,168,7,0,0,0,0,0,0,0,0,0,95,0,0,0,0,206,0.005760090816151841,0.13458137471574416,1.0,0,0,0,0
33c.sql,true,203,185,11,0,0,0,0,0,0,0,0,0,97,0,0,0,0,114,0.006565941147279349,0.05919384659373742,1.0,0,0,0,0
33b.sql,true,128,115,7,0,0,0,0,0,0,0,0,0,54,0,0,0,0,4,0.012827630362560991,0.06475644323723176,1.0,0,0,0,0
33a.sql,true,171,150,15,1,0,0,0,0,0,0,0,0,135,0,0,0,0,8,0.0058077798359358,0.06587173540385197,1.0,0,0,0,0
32b.sql,true,44,24,19,1,0,0,0,0,0,0,0,0,420,0,0,0,0,4388,0.012777508066682009,0.12167082462409817,1.0,0,0,0,0
32a.sql,true,23,22,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2.2737399268122873E-4,4.5474798536245746E-4,1.0,0,0,0,0
31c.sql,true,332,296,27,1,0,0,0,0,0,0,0,0,570,0,0,0,0,2825,0.006433123188135804,0.15865339757429656,1.0,0,0,0,0
31b.sql,true,556,537,6,0,0,0,0,0,0,0,0,0,90,0,0,0,0,84,0.017161752179630483,0.3342245989304813,1.0,0,0,0,0
31a.sql,true,376,349,18,1,0,0,0,0,0,0,0,0,338,0,0,0,0,1273,0.0059305511382769455,0.18546977528773798,1.0,0,0,0,0
30c.sql,true,1881,1760,111,3,0,0,0,0,0,0,0,0,2459,0,0,0,0,8024,0.004776631576808194,0.3224043715846995,1.0,0,0,0,0
30b.sql,true,408,391,5,1,0,0,0,0,0,0,0,0,39,0,0,0,0,28,0.025075111144718616,0.38280835985794975,1.0,0,0,0,0
30a.sql,true,432,360,61,0,0,0,0,0,0,0,0,0,1153,0,0,0,0,757,0.0022160217107878117,0.2505405529781497,1.0,0,0,0,0
2d.sql,true,161,51,108,10,1,0,0,0,0,0,0,0,1723,0,0,0,0,68316,0.04149751104754521,0.40108779302576125,1.0,0,0,0,0
2c.sql,true,54,52,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,-Infinity,1.0,0,0,0,0
2b.sql,true,135,58,76,1,0,0,0,0,0,0,0,0,1244,0,0,0,0,5228,0.006634532352133798,0.2182657776682292,1.0,0,0,0,0
2a.sql,true,121,51,69,1,0,0,0,0,0,0,0,0,1222,0,0,0,0,7834,0.00898084654184958,0.34921369315717204,1.0,0,0,0,0
29c.sql,true,344,250,76,5,1,0,0,0,0,0,0,0,580,0,0,0,0,16308,0.044194853395605194,0.3406249417193494,1.0,0,0,0,0
29b.sql,true,231,192,20,0,0,0,0,0,0,0,0,0,100,0,0,0,0,15,0.013052452900666013,0.3457100240346434,1.0,0,0,0,0
29a.sql,true,254,199,34,1,0,0,0,0,0,0,0,0,309,0,0,0,0,1620,0.04715444527005527,0.40966380791647744,1.0,0,0,0,0
28c.sql,true,435,315,111,1,0,0,0,0,0,0,0,0,1551,0,0,0,0,8373,0.007365697814878592,0.15346552877068945,1.0,0,0,0,0
28b.sql,true,376,327,37,0,1,0,0,0,0,0,0,0,367,0,0,0,0,148,0.005222842918064254,0.3334521577414173,1.0,0,0,0,0
28a.sql,true,502,427,60,1,1,0,0,0,0,0,0,0,638,0,0,0,0,4803,0.010216749979281587,0.333510665526311,1.0,0,0,0,0
27c.sql,true,364,346,7,0,0,0,0,0,0,0,0,0,78,0,0,0,0,743,0.01845762397947095,0.10003352442254183,1.0,0,0,0,0
27b.sql,true,259,240,10,0,0,0,0,0,0,0,0,0,119,0,0,0,0,247,0.02477736123739103,0.14800007455006384,1.0,0,0,0,0
27a.sql,true,316,292,15,0,0,0,0,0,0,0,0,0,153,0,0,0,0,477,0.03317179146397229,0.4435414884516681,1.0,0,0,0,0
26c.sql,true,424,252,164,2,0,0,0,0,0,0,0,0,2064,0,0,0,0,5400,0.0035265655942864097,0.3080407141857094,1.0,0,0,0,0
26b.sql,true,197,136,54,0,0,0,0,0,0,0,0,0,825,0,0,0,0,93,0.007591117257271222,0.3025911176216966,1.0,0,0,0,0
26a.sql,true,247,185,58,1,0,0,0,0,0,0,0,0,764,0,0,0,0,1728,0.004668835100005124,0.3080746191057343,1.0,0,0,0,0
25c.sql,true,416,299,114,8,1,0,0,0,0,0,0,0,1731,0,0,0,0,26153,0.015575737975556982,0.04703895329369607,1.0,0,0,0,0
25b.sql,true,340,332,2,0,0,0,0,0,0,0,0,0,15,0,0,0,0,6,0.02829832853952509,0.4058017178046065,1.0,0,0,0,0
