Query,IsWarmup,Millis,PreMillis,JoinMillis,MatMillis,PostMillis,FilterMillis,IndexMillis,GroupByMillis,AggregateMillis,HavingMillis,OrderMillis,Tuples,Samples,Lookups,NrIndexEntries,nrUniqueLookups,NrPlans,JoinCard,AvgReward,MaxReward,TotalWork,DataSize,UctSize,StateSize,JoinSize
q21.sql,false,22466,2672,1396,145,33,378,2294,0,0,0,0,0,3530,0,0,0,0,334462,0.0,0.0,0.0,0,0,0,0
q20.sql,false,11,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,0.0,0,0,0,0
q20.sql,false,492,163,0,0,329,163,0,0,0,0,0,0,0,0,0,0,0,9829006,0.0,0.0,0.0,0,0,0,0
q20.sql,false,1214,569,470,175,0,1,568,0,0,0,0,0,1747,0,0,0,0,960005,0.0,0.0,0.0,0,0,0,0
q20.sql,false,81,55,11,3,12,1,54,0,0,0,12,0,6,0,0,0,0,16000,0.0,0.0,0.0,0,0,0,0
q19.sql,false,2686,2559,97,2,28,333,2226,0,28,0,0,0,459,0,0,0,0,135,0.0,0.0,0.0,0,0,0,0
q18.sql,false,930,191,0,0,738,191,0,0,0,0,0,0,0,0,0,0,0,60000000,0.0,0.0,0.0,0,0,0,0
q18.sql,false,3762,0,2181,1545,35,0,0,0,0,0,0,0,13017,0,0,0,0,15000000,0.0,0.0,0.0,0,0,0,0
q17.sql,false,375,0,0,0,375,0,0,0,375,0,0,0,0,0,0,0,0,60000000,0.0,0.0,0.0,0,0,0,0
q17.sql,false,705,169,533,2,1,3,166,0,1,0,0,0,2799,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
q16.sql,false,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,56,0.0,0.0,0.0,0,0,0,0
q16.sql,false,1281,0,254,617,410,0,0,0,410,0,0,0,2098,0,0,0,0,7997756,0.0,0.0,0.0,0,0,0,0
q14.sql,false,335,145,10,29,151,140,5,0,151,0,0,0,144,0,0,0,0,356998,0.0,0.0,0.0,0,0,0,0
q12.sql,false,630,382,17,69,162,371,11,11,113,38,0,0,294,0,0,0,0,788073,0.0,0.0,0.0,0,0,0,0
q11.sql,false,333,2,65,151,115,2,0,0,115,0,0,0,312,0,0,0,0,1520039,0.0,0.0,0.0,0,0,0,0
q11.sql,false,246,1,54,154,37,1,0,0,115,0,0,0,537,0,0,0,0,1520039,0.0,0.0,0.0,0,0,0,0
q09.sql,false,9943,17,4730,5038,158,16,1,0,0,0,0,0,34097,0,0,0,0,25558157,0.0,0.0,0.0,0,0,0,0
q08.sql,false,571,86,171,87,227,27,59,0,227,0,0,0,2244,0,0,0,0,909143,0.0,0.0,0.0,0,0,0,0
q08.sql,false,104,0,0,0,103,0,0,10,46,47,0,0,0,0,0,0,0,909143,0.0,0.0,0.0,0,0,0,0
q07.sql,false,2361,475,1517,239,130,161,314,0,130,0,0,0,7870,0,0,0,0,752000,0.0,0.0,0.0,0,0,0,0
q07.sql,false,4,0,0,0,4,0,0,0,130,0,0,0,0,0,0,0,0,752000,0.0,0.0,0.0,0,0,0,0
q06.sql,false,145,91,0,0,54,91,0,0,54,0,0,0,0,0,0,0,0,2678973,0.0,0.0,0.0,0,0,0,0
q05.sql,false,1003,62,805,133,3,30,32,0,0,0,0,0,8255,0,0,0,0,1197816,0.0,0.0,0.0,0,0,0,0
q04.sql,false,148,12,93,40,3,10,2,0,0,0,0,0,184,0,0,0,0,545636,0.0,0.0,0.0,0,0,0,0
q03.sql,false,1944,565,222,559,598,336,229,0,0,0,0,0,1405,0,0,0,0,4059525,0.0,0.0,0.0,0,0,0,0
q02.sql,false,227,1,57,129,40,1,0,0,0,0,0,0,269,0,0,0,0,1600000,0.0,0.0,0.0,0,0,0,0
q02.sql,false,128,111,9,8,0,5,106,0,0,0,0,0,0,0,0,0,0,24,0.0,0.0,0.0,0,0,0,0
q01.sql,false,856,579,0,0,276,579,0,0,0,0,0,0,0,0,0,0,0,59362409,0.0,0.0,0.0,0,0,0,0
