Query,IsWarmup,Millis,PreMillis,JoinMillis,MatMillis,PostMillis,FilterMillis,IndexMillis,GroupByMillis,AggregateMillis,HavingMillis,OrderMillis,Tuples,Samples,Lookups,NrIndexEntries,nrUniqueLookups,NrPlans,JoinCard,AvgReward,MaxReward,TotalWork,DataSize,UctSize,StateSize,JoinSize
33c.sql,true,630,520,81,1,1,0,0,0,0,0,0,0,361,0,0,0,0,114,0.008927670707140527,0.24040524433849822,1.0,0,0,0,0
33b.sql,true,159,141,10,0,0,0,0,0,0,0,0,0,57,0,0,0,0,4,0.011555830090941285,0.05088570461469028,1.0,0,0,0,0
33a.sql,true,180,165,9,0,0,0,0,0,0,0,0,0,63,0,0,0,0,8,0.008129592612715121,0.0502619460758142,1.0,0,0,0,0
32b.sql,true,70,22,45,3,1,0,0,0,0,0,0,0,781,0,0,0,0,4388,0.009533130852174769,0.2511924289650579,1.0,0,0,0,0
32a.sql,true,22,20,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1.6890414192625958E-4,4.3520611838334294E-4,1.0,0,0,0,0
31c.sql,true,420,378,33,3,1,0,0,0,0,0,0,0,523,0,0,0,0,2825,0.007235816960001413,0.15964625516395292,1.0,0,0,0,0
31b.sql,true,904,890,5,0,0,0,0,0,0,0,0,0,72,0,0,0,0,84,0.022654941930580458,0.34648703596674246,1.0,0,0,0,0
31a.sql,true,338,270,64,1,0,0,0,0,0,0,0,0,1234,0,0,0,0,1273,0.0019212576731831427,0.17672080685299965,1.0,0,0,0,0
30c.sql,true,431,297,128,7,2,0,0,0,0,0,0,0,2971,0,0,0,0,8024,0.004082969874542593,0.3311797919098651,1.0,0,0,0,0
30b.sql,true,374,364,5,1,0,0,0,0,0,0,0,0,54,0,0,0,0,28,0.021648915242655775,0.28735632183908044,1.0,0,0,0,0
30a.sql,true,601,548,50,2,0,0,0,0,0,0,0,0,1132,0,0,0,0,757,0.0022713632317590223,0.25078820410722763,1.0,0,0,0,0
29c.sql,true,544,447,90,22,2,0,0,0,0,0,0,0,1318,0,0,0,0,16308,0.01936848212168576,0.34063814597195746,1.0,0,0,0,0
29b.sql,true,326,283,38,1,0,0,0,0,0,0,0,0,350,0,0,0,0,15,0.011052570803336232,0.4083608880491261,1.0,0,0,0,0
29a.sql,true,337,307,25,2,0,0,0,0,0,0,0,0,260,0,0,0,0,1620,0.0520150312290651,0.31945409000296254,1.0,0,0,0,0
28c.sql,true,325,267,53,11,1,0,0,0,0,0,0,0,660,0,0,0,0,8373,0.014784027431633135,0.17155558317371458,1.0,0,0,0,0
28b.sql,true,387,344,38,0,0,0,0,0,0,0,0,0,406,0,0,0,0,148,0.0046245031758357265,0.3335646264190408,1.0,0,0,0,0
28a.sql,true,522,475,43,3,0,0,0,0,0,0,0,0,549,0,0,0,0,4803,0.012110925109532319,0.3333471334288973,1.0,0,0,0,0
27c.sql,true,338,315,19,1,0,0,0,0,0,0,0,0,249,0,0,0,0,743,0.037195648889617294,0.3500040887532028,1.0,0,0,0,0
27b.sql,true,263,253,7,0,0,0,0,0,0,0,0,0,76,0,0,0,0,247,0.02553693799834594,0.1430000000000662,1.0,0,0,0,0
27a.sql,true,278,264,10,0,1,0,0,0,0,0,0,0,123,0,0,0,0,477,0.01931383732932272,0.125731424995909,1.0,0,0,0,0
26c.sql,true,454,297,154,1,0,0,0,0,0,0,0,0,2136,0,0,0,0,5400,0.003375537174448448,0.30275939524661066,1.0,0,0,0,0
26b.sql,true,249,210,36,0,0,0,0,0,0,0,0,0,716,0,0,0,0,93,0.004527790882718952,0.301760180731642,1.0,0,0,0,0
26a.sql,true,301,199,99,0,0,0,0,0,0,0,0,0,1556,0,0,0,0,1728,0.002429491638597848,0.3439353350098909,1.0,0,0,0,0
25c.sql,true,504,401,100,5,1,0,0,0,0,0,0,0,1625,0,0,0,0,26153,0.0165762825696247,0.04654332398844165,1.0,0,0,0,0
25b.sql,true,255,251,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,0.0012723664018365341,0.004236151930253261,1.0,0,0,0,0
25a.sql,true,344,297,45,1,0,0,0,0,0,0,0,0,660,0,0,0,0,4407,0.007801040511184185,0.020900202089035362,1.0,0,0,0,0
24b.sql,true,262,256,2,0,0,0,0,0,0,0,0,0,26,0,0,0,0,45,0.05931485488939207,0.39778290316235837,1.0,0,0,0,0
24a.sql,true,323,312,8,0,0,0,0,0,0,0,0,0,102,0,0,0,0,275,0.011708132447679702,0.34063046244040396,1.0,0,0,0,0
23c.sql,true,268,262,4,0,0,0,0,0,0,0,0,0,72,0,0,0,0,628,0.05068239977387142,0.3412116167956459,1.0,0,0,0,0
23b.sql,true,229,224,3,0,0,0,0,0,0,0,0,0,40,0,0,0,0,16,0.03978013470644918,0.30361180605068283,1.0,0,0,0,0
23a.sql,true,282,275,4,0,0,0,0,0,0,0,0,0,64,0,0,0,0,618,0.05178755936978285,0.3963210702341137,1.0,0,0,0,0
22d.sql,true,690,292,395,12,0,0,0,0,0,0,0,0,9658,0,0,0,0,46281,0.007412103911400198,0.1520183460089517,1.0,0,0,0,0
22c.sql,true,375,319,52,4,0,0,0,0,0,0,0,0,895,0,0,0,0,21489,0.02580891708300418,0.15345564236588266,1.0,0,0,0,0
22b.sql,true,252,223,27,0,0,0,0,0,0,0,0,0,339,0,0,0,0,31,0.0024848614526530913,0.15111161938155415,1.0,0,0,0,0
22a.sql,true,313,277,33,0,0,0,0,0,0,0,0,0,476,0,0,0,0,2851,0.007782536552649214,0.15307960066716622,1.0,0,0,0,0
21c.sql,true,433,422,9,0,0,0,0,0,0,0,0,0,123,0,0,0,0,1874,0.028144006749211203,0.23500280322982553,1.0,0,0,0,0
21b.sql,true,750,746,2,0,0,0,0,0,0,0,0,0,35,0,0,0,0,38,0.019849591683374777,0.08259206846591867,1.0,0,0,0,0
21a.sql,true,372,363,7,1,0,0,0,0,0,0,0,0,132,0,0,0,0,1410,0.033524239537062336,0.22800044898216215,1.0,0,0,0,0
20c.sql,true,465,262,200,1,0,0,0,0,0,0,0,0,4093,0,0,0,0,5406,0.002499248920353086,0.3696639463842662,1.0,0,0,0,0
20b.sql,true,824,818,4,0,0,0,0,0,0,0,0,0,55,0,0,0,0,17,0.013395986654792372,0.3036470258926479,1.0,0,0,0,0
20a.sql,true,663,653,7,0,0,0,0,0,0,0,0,0,122,0,0,0,0,33,0.009502665589287113,0.29743199507032914,1.0,0,0,0,0
19d.sql,true,2541,295,2230,774,14,0,0,0,0,0,0,0,48503,0,0,0,0,1760645,0.03681804584148767,0.415,1.0,0,0,0,0
19c.sql,true,797,772,23,1,0,0,0,0,0,0,0,0,628,0,0,0,0,3575,0.010711535711275543,0.3737864077669903,1.0,0,0,0,0
19b.sql,true,453,450,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,15,0.040371024843830025,0.34395210621388805,1.0,0,0,0,0
19a.sql,true,286,279,5,0,0,0,0,0,0,0,0,0,81,0,0,0,0,184,0.025593726115531894,0.34058989169153525,1.0,0,0,0,0
18c.sql,true,441,325,114,8,0,0,0,0,0,0,0,0,2542,0,0,0,0,28073,0.012393575530565668,0.24072199068706768,1.0,0,0,0,0
