Query,IsWarmup,Millis,PreMillis,JoinMillis,MatMillis,PostMillis,FilterMillis,IndexMillis,GroupByMillis,AggregateMillis,HavingMillis,OrderMillis,Tuples,Samples,Lookups,NrIndexEntries,nrUniqueLookups,NrPlans,JoinCard,AvgReward,MaxReward,TotalWork,DataSize,UctSize,StateSize,JoinSize
q21.sql,true,23442,3533,1484,62,17,505,3028,0,0,0,0,0,7968,0,0,0,0,39445,0.0,0.0,0.0,0,0,0,0
q21.sql,false,3480,2525,913,36,4,489,2036,0,0,0,0,0,6680,0,0,0,0,39445,0.0,0.0,0.0,0,0,0,0
q20.sql,true,40,39,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,21999,0.0,0.0,0.0,0,0,0,0
q20.sql,true,1236,176,0,0,1060,176,0,0,0,0,0,0,0,0,0,0,0,9099165,0.0,0.0,0.0,0,0,0,0
q20.sql,true,3128,1135,1942,51,0,0,1135,0,0,0,0,0,20212,0,0,0,0,59593,0.0,0.0,0.0,0,0,0,0
q20.sql,true,22,5,13,2,2,0,5,0,0,0,2,0,18,0,0,0,0,1800,0.0,0.0,0.0,0,0,0,0
q20.sql,false,30,30,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,21999,0.0,0.0,0.0,0,0,0,0
q20.sql,false,1130,103,0,0,1027,103,0,0,0,0,0,0,0,0,0,0,0,9099165,0.0,0.0,0.0,0,0,0,0
q20.sql,false,1580,961,597,21,0,0,961,0,0,0,0,0,20265,0,0,0,0,59593,0.0,0.0,0.0,0,0,0,0
q20.sql,false,9,5,2,1,1,0,5,0,0,0,1,0,15,0,0,0,0,1800,0.0,0.0,0.0,0,0,0,0
q19.sql,true,1887,1142,719,6,20,311,831,0,20,0,0,0,7611,0,0,0,0,1117,0.0,0.0,0.0,0,0,0,0
q19.sql,false,1543,882,658,1,2,302,580,0,2,0,0,0,10660,0,0,0,0,1117,0.0,0.0,0.0,0,0,0,0
q18.sql,true,519,0,0,0,519,0,0,0,0,0,0,0,0,0,0,0,0,59986052,0.0,0.0,0.0,0,0,0,0
q18.sql,true,737,1,731,1,4,0,1,0,0,0,0,0,37496,0,0,0,0,693,0.0,0.0,0.0,0,0,0,0
q18.sql,false,515,0,0,0,515,0,0,0,0,0,0,0,0,0,0,0,0,59986052,0.0,0.0,0.0,0,0,0,0
q18.sql,false,726,0,724,0,2,0,0,0,0,0,0,0,37439,0,0,0,0,693,0.0,0.0,0.0,0,0,0,0
q17.sql,true,375,0,0,0,375,0,0,0,375,0,0,0,0,0,0,0,0,59986052,0.0,0.0,0.0,0,0,0,0
q17.sql,true,219,167,48,2,1,2,165,0,1,0,0,0,80,0,0,0,0,5380,0.0,0.0,0.0,0,0,0,0
q17.sql,false,58,0,0,0,58,0,0,0,58,0,0,0,0,0,0,0,0,59986052,0.0,0.0,0.0,0,0,0,0
q17.sql,false,164,149,11,3,1,5,144,0,1,0,0,0,97,0,0,0,0,5380,0.0,0.0,0.0,0,0,0,0
q16.sql,true,10,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,56,0.0,0.0,0.0,0,0,0,0
q16.sql,true,3451,0,1658,1338,455,0,0,0,454,0,0,0,14854,0,0,0,0,7995520,0.0,0.0,0.0,0,0,0,0
q16.sql,false,10,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,56,0.0,0.0,0.0,0,0,0,0
q16.sql,false,3229,0,1166,1944,119,0,0,0,119,0,0,0,14294,0,0,0,0,7995520,0.0,0.0,0.0,0,0,0,0
q14.sql,true,908,153,218,241,296,111,42,0,296,0,0,0,2708,0,0,0,0,772831,0.0,0.0,0.0,0,0,0,0
q14.sql,false,955,398,212,194,151,356,42,0,151,0,0,0,2718,0,0,0,0,772831,0.0,0.0,0.0,0,0,0,0
q12.sql,true,381,122,98,68,93,120,2,7,64,22,0,0,1095,0,0,0,0,311400,0.0,0.0,0.0,0,0,0,0
q12.sql,false,403,117,96,73,117,115,2,10,97,10,0,0,1105,0,0,0,0,311400,0.0,0.0,0.0,0,0,0,0
q11.sql,true,158,0,61,46,51,0,0,0,51,0,0,0,338,0,0,0,0,320560,0.0,0.0,0.0,0,0,0,0
q11.sql,true,535,1,148,360,26,1,0,0,51,0,0,0,320,0,0,0,0,320560,0.0,0.0,0.0,0,0,0,0
q11.sql,false,154,0,69,72,13,0,0,0,13,0,0,0,345,0,0,0,0,320560,0.0,0.0,0.0,0,0,0,0
