Query,IsWarmup,Millis,PreMillis,JoinMillis,MatMillis,PostMillis,FilterMillis,IndexMillis,GroupByMillis,AggregateMillis,HavingMillis,OrderMillis,Tuples,Samples,Lookups,NrIndexEntries,nrUniqueLookups,NrPlans,JoinCard,AvgReward,MaxReward,TotalWork,DataSize,UctSize,StateSize,JoinSize
33c.sql,true,7304,276,64,22,1,54,222,0,1,0,0,0,73,0,0,0,0,114,0.0,0.0,0.0,0,0,0,0
33c.sql,false,147,102,30,15,0,35,67,0,0,0,0,0,47,0,0,0,0,114,0.0,0.0,0.0,0,0,0,0
33b.sql,true,88,72,15,1,0,45,27,0,0,0,0,0,26,0,0,0,0,4,0.0,0.0,0.0,0,0,0,0
33b.sql,false,58,43,14,0,0,16,27,0,0,0,0,0,27,0,0,0,0,4,0.0,0.0,0.0,0,0,0,0
33a.sql,true,77,63,12,2,0,28,35,0,0,0,0,0,24,0,0,0,0,8,0.0,0.0,0.0,0,0,0,0
33a.sql,false,106,62,30,14,0,28,34,0,0,0,0,0,89,0,0,0,0,8,0.0,0.0,0.0,0,0,0,0
32b.sql,true,133,0,124,8,1,0,0,0,1,0,0,0,300,0,0,0,0,4388,0.0,0.0,0.0,0,0,0,0
32b.sql,false,94,0,80,13,1,0,0,0,1,0,0,0,183,0,0,0,0,4388,0.0,0.0,0.0,0,0,0,0
32a.sql,true,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
32a.sql,false,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
31c.sql,true,488,462,22,3,1,375,87,0,1,0,0,0,360,0,0,0,0,2825,0.0,0.0,0.0,0,0,0,0
31c.sql,false,158,119,26,13,0,33,86,0,0,0,0,0,278,0,0,0,0,2825,0.0,0.0,0.0,0,0,0,0
31b.sql,true,244,240,2,1,0,141,99,0,0,0,0,0,18,0,0,0,0,84,0.0,0.0,0.0,0,0,0,0
31b.sql,false,229,225,3,0,1,136,89,0,1,0,0,0,20,0,0,0,0,84,0.0,0.0,0.0,0,0,0,0
