Query,IsWarmup,Millis,PreMillis,JoinMillis,MatMillis,PostMillis,FilterMillis,IndexMillis,GroupByMillis,AggregateMillis,HavingMillis,OrderMillis,Tuples,Samples,Lookups,NrIndexEntries,nrUniqueLookups,NrPlans,JoinCard,AvgReward,MaxReward,TotalWork,DataSize,UctSize,StateSize,JoinSize
q21.sql,true,21845,2725,784,47,13,404,2321,0,0,0,0,0,1544,0,0,0,0,39445,0.0,0.0,0.0,0,0,0,0
q21.sql,false,1875,1479,368,23,4,385,1094,0,0,0,0,0,1761,0,0,0,0,39445,0.0,0.0,0.0,0,0,0,0
q20.sql,true,15,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,21999,0.0,0.0,0.0,0,0,0,0
q20.sql,true,667,147,0,0,520,147,0,0,0,0,0,0,0,0,0,0,0,9099165,0.0,0.0,0.0,0,0,0,0
q20.sql,true,3023,1242,1756,25,0,0,1242,0,0,0,0,0,4685,0,0,0,0,59593,0.0,0.0,0.0,0,0,0,0
q20.sql,true,13,6,4,1,2,0,6,0,0,0,2,0,14,0,0,0,0,1800,0.0,0.0,0.0,0,0,0,0
q20.sql,false,15,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,21999,0.0,0.0,0.0,0,0,0,0
q20.sql,false,591,81,0,0,510,81,0,0,0,0,0,0,0,0,0,0,0,9099165,0.0,0.0,0.0,0,0,0,0
q20.sql,false,1242,1069,150,23,0,0,1069,0,0,0,0,0,4700,0,0,0,0,59593,0.0,0.0,0.0,0,0,0,0
q20.sql,false,9,6,2,1,0,1,5,0,0,0,0,0,4,0,0,0,0,1800,0.0,0.0,0.0,0,0,0,0
q19.sql,true,1630,1361,247,3,19,297,1064,0,19,0,0,0,2016,0,0,0,0,1117,0.0,0.0,0.0,0,0,0,0
q19.sql,false,1015,932,80,2,1,308,624,0,1,0,0,0,1780,0,0,0,0,1117,0.0,0.0,0.0,0,0,0,0
q18.sql,true,439,0,0,0,439,0,0,0,0,0,0,0,0,0,0,0,0,59986052,0.0,0.0,0.0,0,0,0,0
q18.sql,true,317,0,308,1,7,0,0,0,0,0,0,0,9554,0,0,0,0,693,0.0,0.0,0.0,0,0,0,0
q18.sql,false,435,0,0,0,435,0,0,0,0,0,0,0,0,0,0,0,0,59986052,0.0,0.0,0.0,0,0,0,0
q18.sql,false,231,0,228,1,2,0,0,0,0,0,0,0,8932,0,0,0,0,693,0.0,0.0,0.0,0,0,0,0
q17.sql,true,175,0,0,0,175,0,0,0,175,0,0,0,0,0,0,0,0,59986052,0.0,0.0,0.0,0,0,0,0
q17.sql,true,186,146,37,2,1,2,144,0,1,0,0,0,27,0,0,0,0,5380,0.0,0.0,0.0,0,0,0,0
q17.sql,false,59,0,0,0,59,0,0,0,59,0,0,0,0,0,0,0,0,59986052,0.0,0.0,0.0,0,0,0,0
q17.sql,false,162,154,5,2,1,5,149,0,1,0,0,0,30,0,0,0,0,5380,0.0,0.0,0.0,0,0,0,0
q16.sql,true,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,56,0.0,0.0,0.0,0,0,0,0
q16.sql,true,1524,0,370,720,434,0,0,0,434,0,0,0,4292,0,0,0,0,7995520,0.0,0.0,0.0,0,0,0,0
q16.sql,false,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,56,0.0,0.0,0.0,0,0,0,0
q16.sql,false,1815,0,299,696,820,0,0,0,820,0,0,0,4271,0,0,0,0,7995520,0.0,0.0,0.0,0,0,0,0
q14.sql,true,675,147,43,214,271,129,18,0,271,0,0,0,607,0,0,0,0,772831,0.0,0.0,0.0,0,0,0,0
q14.sql,false,364,108,41,115,100,90,18,0,100,0,0,0,605,0,0,0,0,772831,0.0,0.0,0.0,0,0,0,0
q12.sql,true,289,96,20,49,124,94,2,7,94,23,0,0,246,0,0,0,0,311400,0.0,0.0,0.0,0,0,0,0
q12.sql,false,206,73,23,32,78,70,3,7,60,11,0,0,254,0,0,0,0,311400,0.0,0.0,0.0,0,0,0,0
q11.sql,true,168,1,100,50,17,1,0,0,17,0,0,0,77,0,0,0,0,320560,0.0,0.0,0.0,0,0,0,0
q11.sql,true,123,1,58,52,12,1,0,0,17,0,0,0,85,0,0,0,0,320560,0.0,0.0,0.0,0,0,0,0
q11.sql,false,103,1,14,46,42,1,0,0,42,0,0,0,76,0,0,0,0,320560,0.0,0.0,0.0,0,0,0,0
q11.sql,false,381,1,114,255,11,1,0,0,42,0,0,0,43,0,0,0,0,320560,0.0,0.0,0.0,0,0,0,0
q10.sql,true,1353,156,695,108,394,85,71,0,0,0,0,0,1275,0,0,0,0,1120704,0.0,0.0,0.0,0,0,0,0
q10.sql,false,726,155,105,111,354,84,71,0,0,0,0,0,1304,0,0,0,0,1120704,0.0,0.0,0.0,0,0,0,0
q09.sql,false,1893,22,713,1116,42,21,1,0,0,0,0,0,9518,0,0,0,0,3264524,0.0,0.0,0.0,0,0,0,0
q08.sql,true,293,129,57,3,104,28,101,0,104,0,0,0,704,0,0,0,0,24064,0.0,0.0,0.0,0,0,0,0
q08.sql,true,10,0,0,0,10,0,0,2,6,2,0,0,0,0,0,0,0,24064,0.0,0.0,0.0,0,0,0,0
q08.sql,false,192,121,51,3,17,28,93,0,17,0,0,0,629,0,0,0,0,24064,0.0,0.0,0.0,0,0,0,0
q08.sql,false,10,0,0,0,10,0,0,2,6,2,0,0,0,0,0,0,0,24064,0.0,0.0,0.0,0,0,0,0
q07.sql,true,1302,900,331,43,28,162,738,0,27,0,0,0,3147,0,0,0,0,59996,0.0,0.0,0.0,0,0,0,0
q07.sql,true,2,0,0,0,2,0,0,0,27,0,0,0,0,0,0,0,0,59996,0.0,0.0,0.0,0,0,0,0
q07.sql,false,780,519,218,6,36,160,359,0,36,0,0,0,2354,0,0,0,0,59996,0.0,0.0,0.0,0,0,0,0
q07.sql,false,2,0,0,0,1,0,0,0,36,0,0,0,0,0,0,0,0,59996,0.0,0.0,0.0,0,0,0,0
q06.sql,true,138,80,0,0,58,80,0,0,57,0,0,0,0,0,0,0,0,1140618,0.0,0.0,0.0,0,0,0,0
q06.sql,false,131,81,0,0,50,81,0,0,50,0,0,0,0,0,0,0,0,1140618,0.0,0.0,0.0,0,0,0,0
q05.sql,true,1366,58,1298,9,1,11,47,0,0,0,0,0,14706,0,0,0,0,72985,0.0,0.0,0.0,0,0,0,0
q05.sql,false,1231,60,1134,36,1,11,49,0,0,0,0,0,13431,0,0,0,0,72985,0.0,0.0,0.0,0,0,0,0
q04.sql,true,159,8,103,46,2,5,3,0,0,0,0,0,366,0,0,0,0,526571,0.0,0.0,0.0,0,0,0,0
q04.sql,false,104,6,50,45,2,4,2,0,0,0,0,0,370,0,0,0,0,526571,0.0,0.0,0.0,0,0,0,0
q03.sql,true,792,561,128,28,75,313,248,0,0,0,0,0,1172,0,0,0,0,304063,0.0,0.0,0.0,0,0,0,0
q03.sql,false,725,476,127,48,74,243,233,0,0,0,0,0,1170,0,0,0,0,304063,0.0,0.0,0.0,0,0,0,0
q02.sql,true,390,1,95,236,58,1,0,0,0,0,0,0,417,0,0,0,0,1603360,0.0,0.0,0.0,0,0,0,0
q02.sql,true,292,155,117,17,3,2,153,0,0,0,2,0,80,0,0,0,0,4830,0.0,0.0,0.0,0,0,0,0
q02.sql,false,306,1,90,166,49,1,0,0,0,0,0,0,412,0,0,0,0,1603360,0.0,0.0,0.0,0,0,0,0
q02.sql,false,162,153,5,1,3,2,151,0,0,0,2,0,62,0,0,0,0,4830,0.0,0.0,0.0,0,0,0,0
q01.sql,true,1091,614,0,0,477,614,0,0,0,0,0,0,0,0,0,0,0,59444244,0.0,0.0,0.0,0,0,0,0
q01.sql,false,1079,605,0,0,474,605,0,0,0,0,0,0,0,0,0,0,0,59444244,0.0,0.0,0.0,0,0,0,0
