Query,IsWarmup,Millis,PreMillis,JoinMillis,MatMillis,PostMillis,FilterMillis,IndexMillis,GroupByMillis,AggregateMillis,HavingMillis,OrderMillis,Tuples,Samples,Lookups,NrIndexEntries,nrUniqueLookups,NrPlans,JoinCard,AvgReward,MaxReward,TotalWork,DataSize,UctSize,StateSize,JoinSize
q21.sql,true,21734,2560,880,45,13,404,2156,0,0,0,0,0,1462,0,0,0,0,39445,0.0,0.0,0.0,0,0,0,0
q21.sql,false,1955,1496,423,31,4,389,1107,0,0,0,0,0,2025,0,0,0,0,39445,0.0,0.0,0.0,0,0,0,0
q20.sql,true,16,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,21999,0.0,0.0,0.0,0,0,0,0
q20.sql,true,676,149,0,0,527,149,0,0,0,0,0,0,0,0,0,0,0,9099165,0.0,0.0,0.0,0,0,0,0
q20.sql,true,2900,1156,1712,32,0,0,1156,0,0,0,0,0,4681,0,0,0,0,59593,0.0,0.0,0.0,0,0,0,0
q20.sql,true,15,6,5,2,2,1,5,0,0,0,2,0,4,0,0,0,0,1800,0.0,0.0,0.0,0,0,0,0
q20.sql,false,15,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,21999,0.0,0.0,0.0,0,0,0,0
q20.sql,false,544,51,0,0,493,51,0,0,0,0,0,0,0,0,0,0,0,9099165,0.0,0.0,0.0,0,0,0,0
q20.sql,false,1262,1091,148,23,0,0,1091,0,0,0,0,0,4703,0,0,0,0,59593,0.0,0.0,0.0,0,0,0,0
q20.sql,false,10,7,1,2,0,1,6,0,0,0,0,0,4,0,0,0,0,1800,0.0,0.0,0.0,0,0,0,0
q19.sql,true,1509,1279,210,1,19,306,973,0,19,0,0,0,1873,0,0,0,0,1117,0.0,0.0,0.0,0,0,0,0
q19.sql,false,1008,932,73,2,1,304,628,0,1,0,0,0,1701,0,0,0,0,1117,0.0,0.0,0.0,0,0,0,0
q18.sql,true,440,1,0,0,439,1,0,0,0,0,0,0,0,0,0,0,0,59986052,0.0,0.0,0.0,0,0,0,0
q18.sql,true,221,0,214,1,5,0,0,0,0,0,0,0,9143,0,0,0,0,693,0.0,0.0,0.0,0,0,0,0
q18.sql,false,433,0,0,0,433,0,0,0,0,0,0,0,0,0,0,0,0,59986052,0.0,0.0,0.0,0,0,0,0
q18.sql,false,182,0,179,1,2,0,0,0,0,0,0,0,8963,0,0,0,0,693,0.0,0.0,0.0,0,0,0,0
q17.sql,true,311,0,0,0,311,0,0,0,311,0,0,0,0,0,0,0,0,59986052,0.0,0.0,0.0,0,0,0,0
q17.sql,true,177,143,32,1,1,3,140,0,1,0,0,0,25,0,0,0,0,5380,0.0,0.0,0.0,0,0,0,0
q17.sql,false,57,0,0,0,57,0,0,0,57,0,0,0,0,0,0,0,0,59986052,0.0,0.0,0.0,0,0,0,0
q17.sql,false,153,145,6,1,1,4,141,0,1,0,0,0,46,0,0,0,0,5380,0.0,0.0,0.0,0,0,0,0
q16.sql,true,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,56,0.0,0.0,0.0,0,0,0,0
q16.sql,true,2283,0,360,1465,458,0,0,0,458,0,0,0,4321,0,0,0,0,7995520,0.0,0.0,0.0,0,0,0,0
q16.sql,false,9,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,56,0.0,0.0,0.0,0,0,0,0
q16.sql,false,1480,0,298,1064,118,0,0,0,118,0,0,0,4300,0,0,0,0,7995520,0.0,0.0,0.0,0,0,0,0
q14.sql,true,939,135,279,257,268,117,18,0,268,0,0,0,609,0,0,0,0,772831,0.0,0.0,0.0,0,0,0,0
q14.sql,false,482,302,40,69,71,284,18,0,71,0,0,0,607,0,0,0,0,772831,0.0,0.0,0.0,0,0,0,0
q12.sql,true,276,96,22,29,128,94,2,5,91,32,0,0,252,0,0,0,0,311400,0.0,0.0,0.0,0,0,0,0
q12.sql,false,255,77,23,46,109,75,2,7,91,11,0,0,247,0,0,0,0,311400,0.0,0.0,0.0,0,0,0,0
q11.sql,true,143,1,44,53,45,1,0,0,45,0,0,0,69,0,0,0,0,320560,0.0,0.0,0.0,0,0,0,0
q11.sql,true,128,1,77,38,12,1,0,0,45,0,0,0,309,0,0,0,0,320560,0.0,0.0,0.0,0,0,0,0
q11.sql,false,79,0,13,29,36,0,0,0,36,0,0,0,69,0,0,0,0,320560,0.0,0.0,0.0,0,0,0,0
q11.sql,false,72,1,23,38,10,1,0,0,36,0,0,0,95,0,0,0,0,320560,0.0,0.0,0.0,0,0,0,0
q10.sql,true,923,175,105,179,464,104,71,0,0,0,0,0,1275,0,0,0,0,1120704,0.0,0.0,0.0,0,0,0,0
q10.sql,false,808,136,103,107,462,67,69,0,0,0,0,0,1294,0,0,0,0,1120704,0.0,0.0,0.0,0,0,0,0
q09.sql,false,1162,22,761,338,41,21,1,0,0,0,0,0,9932,0,0,0,0,3264524,0.0,0.0,0.0,0,0,0,0
q08.sql,true,303,124,62,18,99,29,95,0,99,0,0,0,846,0,0,0,0,24064,0.0,0.0,0.0,0,0,0,0
q08.sql,true,9,0,0,0,9,0,0,2,5,2,0,0,0,0,0,0,0,24064,0.0,0.0,0.0,0,0,0,0
q08.sql,false,198,124,55,4,15,29,95,0,15,0,0,0,747,0,0,0,0,24064,0.0,0.0,0.0,0,0,0,0
q08.sql,false,10,0,0,0,10,0,0,2,5,3,0,0,0,0,0,0,0,24064,0.0,0.0,0.0,0,0,0,0
q07.sql,true,1187,884,274,8,21,161,723,0,21,0,0,0,2275,0,0,0,0,59996,0.0,0.0,0.0,0,0,0,0
q07.sql,true,2,0,0,0,2,0,0,0,21,0,0,0,0,0,0,0,0,59996,0.0,0.0,0.0,0,0,0,0
q07.sql,false,888,540,300,9,38,158,382,0,38,0,0,0,3223,0,0,0,0,59996,0.0,0.0,0.0,0,0,0,0
q07.sql,false,1,0,0,0,1,0,0,0,38,0,0,0,0,0,0,0,0,59996,0.0,0.0,0.0,0,0,0,0
q06.sql,true,125,78,0,0,47,78,0,0,47,0,0,0,0,0,0,0,0,1140618,0.0,0.0,0.0,0,0,0,0
q06.sql,false,132,85,0,0,47,85,0,0,47,0,0,0,0,0,0,0,0,1140618,0.0,0.0,0.0,0,0,0,0
q05.sql,true,1102,61,1034,6,1,11,50,0,0,0,0,0,11341,0,0,0,0,72985,0.0,0.0,0.0,0,0,0,0
q05.sql,false,819,60,750,7,2,11,49,0,0,0,0,0,9401,0,0,0,0,72985,0.0,0.0,0.0,0,0,0,0
q04.sql,true,162,8,95,56,2,5,3,0,0,0,0,0,364,0,0,0,0,526571,0.0,0.0,0.0,0,0,0,0
q04.sql,false,102,8,49,43,2,5,3,0,0,0,0,0,365,0,0,0,0,526571,0.0,0.0,0.0,0,0,0,0
q03.sql,true,800,538,138,27,97,298,240,0,0,0,0,0,1244,0,0,0,0,304063,0.0,0.0,0.0,0,0,0,0
q03.sql,false,725,460,138,29,97,227,233,0,0,0,0,0,1252,0,0,0,0,304063,0.0,0.0,0.0,0,0,0,0
q02.sql,true,312,1,92,162,57,1,0,0,0,0,0,0,404,0,0,0,0,1603360,0.0,0.0,0.0,0,0,0,0
q02.sql,true,254,142,93,15,3,3,139,0,0,0,3,0,41,0,0,0,0,4830,0.0,0.0,0.0,0,0,0,0
q02.sql,false,311,1,100,153,57,1,0,0,0,0,0,0,373,0,0,0,0,1603360,0.0,0.0,0.0,0,0,0,0
q02.sql,false,170,149,17,1,3,3,146,0,0,0,3,0,58,0,0,0,0,4830,0.0,0.0,0.0,0,0,0,0
q01.sql,true,1075,594,0,0,481,594,0,0,0,0,0,0,0,0,0,0,0,59444244,0.0,0.0,0.0,0,0,0,0
q01.sql,false,1086,609,0,0,477,609,0,0,0,0,0,0,0,0,0,0,0,59444244,0.0,0.0,0.0,0,0,0,0
