Query,IsWarmup,Millis,PreMillis,JoinMillis,MatMillis,PostMillis,FilterMillis,IndexMillis,GroupByMillis,AggregateMillis,HavingMillis,OrderMillis,Tuples,Samples,Lookups,NrIndexEntries,nrUniqueLookups,NrPlans,JoinCard,AvgReward,MaxReward,TotalWork,DataSize,UctSize,StateSize,JoinSize
q21.sql,true,10242,1685,496,37,8,169,1516,0,0,0,0,0,1955,0,0,0,0,11787,0.0,0.0,0.0,0,0,0,0
q21.sql,false,1384,832,534,16,1,151,681,0,0,0,0,0,2039,0,0,0,0,11787,0.0,0.0,0.0,0,0,0,0
q20.sql,true,11,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6549,0.0,0.0,0.0,0,0,0,0
q20.sql,true,334,63,0,0,271,63,0,0,0,0,0,0,0,0,0,0,0,2733944,0.0,0.0,0.0,0,0,0,0
q20.sql,true,721,345,366,10,0,1,344,0,0,0,0,0,6058,0,0,0,0,17821,0.0,0.0,0.0,0,0,0,0
q20.sql,true,16,2,4,9,1,0,2,0,0,0,1,0,6,0,0,0,0,553,0.0,0.0,0.0,0,0,0,0
q20.sql,false,11,10,0,0,1,10,0,0,0,0,1,0,0,0,0,0,0,6549,0.0,0.0,0.0,0,0,0,0
q20.sql,false,303,47,0,0,256,47,0,0,0,0,1,0,0,0,0,0,0,2733944,0.0,0.0,0.0,0,0,0,0
q20.sql,false,520,323,181,16,0,0,323,0,0,0,0,0,6082,0,0,0,0,17821,0.0,0.0,0.0,0,0,0,0
q20.sql,false,14,2,1,10,0,1,1,0,0,0,0,0,7,0,0,0,0,553,0.0,0.0,0.0,0,0,0,0
q19.sql,true,1009,617,370,1,20,122,495,0,20,0,0,0,2200,0,0,0,0,328,0.0,0.0,0.0,0,0,0,0
q19.sql,false,505,347,156,1,1,119,228,0,1,0,0,0,2149,0,0,0,0,328,0.0,0.0,0.0,0,0,0,0
q18.sql,true,161,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,17996609,0.0,0.0,0.0,0,0,0,0
q18.sql,true,246,1,241,1,3,1,0,0,0,0,0,0,11256,0,0,0,0,196,0.0,0.0,0.0,0,0,0,0
q18.sql,false,158,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,17996609,0.0,0.0,0.0,0,0,0,0
q18.sql,false,247,0,244,2,1,0,0,0,0,0,0,0,11263,0,0,0,0,196,0.0,0.0,0.0,0,0,0,0
q17.sql,true,151,0,0,0,151,0,0,0,151,0,0,0,0,0,0,0,0,17996609,0.0,0.0,0.0,0,0,0,0
q17.sql,true,78,64,10,2,1,1,63,0,1,0,0,0,35,0,0,0,0,1578,0.0,0.0,0.0,0,0,0,0
q17.sql,false,18,0,0,0,18,0,0,0,18,0,0,0,0,0,0,0,0,17996609,0.0,0.0,0.0,0,0,0,0
q17.sql,false,75,67,4,3,1,2,65,0,1,0,0,0,38,0,0,0,0,1578,0.0,0.0,0.0,0,0,0,0
q16.sql,true,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,15,0.0,0.0,0.0,0,0,0,0
q16.sql,true,2453,0,429,1763,261,0,0,0,261,0,0,0,4280,0,0,0,0,2398800,0.0,0.0,0.0,0,0,0,0
q16.sql,false,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,15,0.0,0.0,0.0,0,0,0,0
