Query,IsWarmup,Millis,PreMillis,JoinMillis,MatMillis,PostMillis,FilterMillis,IndexMillis,GroupByMillis,AggregateMillis,HavingMillis,OrderMillis,Tuples,Samples,Lookups,NrIndexEntries,nrUniqueLookups,NrPlans,JoinCard,AvgReward,MaxReward,TotalWork,DataSize,UctSize,StateSize,JoinSize
9.sql,true,8222,20,880,321,341,16,4,0,340,0,0,0,4769,0,0,0,0,979921,0.0,0.0,0.0,0,0,0,0
9.sql,true,21,0,0,0,21,0,0,0,340,0,0,0,0,0,0,0,0,979921,0.0,0.0,0.0,0,0,0,0
9.sql,false,690,12,358,169,151,9,3,0,151,0,0,0,4651,0,0,0,0,979921,0.0,0.0,0.0,0,0,0,0
9.sql,false,8,0,0,0,7,0,0,0,151,0,0,0,0,0,0,0,0,979921,0.0,0.0,0.0,0,0,0,0
8.sql,true,699,543,147,1,8,230,313,0,8,0,0,0,353,0,0,0,0,7644,0.0,0.0,0.0,0,0,0,0
8.sql,true,17,0,0,0,17,0,0,7,7,3,0,0,0,0,0,0,0,7644,0.0,0.0,0.0,0,0,0,0
8.sql,false,224,174,41,2,7,121,53,0,7,0,0,0,427,0,0,0,0,7644,0.0,0.0,0.0,0,0,0,0
8.sql,false,15,0,0,0,15,0,0,7,4,4,0,0,0,0,0,0,0,7644,0.0,0.0,0.0,0,0,0,0
7.sql,true,1109,864,218,4,22,345,519,0,22,0,0,0,1068,0,0,0,0,17331,0.0,0.0,0.0,0,0,0,0
7.sql,true,1,0,0,0,1,0,0,0,22,0,0,0,0,0,0,0,0,17331,0.0,0.0,0.0,0,0,0,0
7.sql,false,606,334,244,6,22,124,210,0,22,0,0,0,3276,0,0,0,0,17331,0.0,0.0,0.0,0,0,0,0
7.sql,false,1,0,0,0,1,0,0,0,22,0,0,0,0,0,0,0,0,17331,0.0,0.0,0.0,0,0,0,0
6.sql,true,130,69,0,0,61,69,0,0,61,0,0,0,0,0,0,0,0,342464,0.0,0.0,0.0,0,0,0,0
6.sql,false,143,67,0,0,76,67,0,0,76,0,0,0,0,0,0,0,0,342464,0.0,0.0,0.0,0,0,0,0
5.sql,true,653,34,614,4,1,10,24,0,0,0,0,0,6324,0,0,0,0,22028,0.0,0.0,0.0,0,0,0,0
5.sql,false,496,32,458,5,1,9,23,0,0,0,0,0,5062,0,0,0,0,22028,0.0,0.0,0.0,0,0,0,0
4.sql,true,191,5,166,18,1,4,1,0,0,0,0,0,171,0,0,0,0,158414,0.0,0.0,0.0,0,0,0,0
4.sql,false,48,4,24,19,1,3,1,0,0,0,0,0,173,0,0,0,0,158414,0.0,0.0,0.0,0,0,0,0
3.sql,true,688,560,68,9,51,357,203,0,0,0,0,0,577,0,0,0,0,90026,0.0,0.0,0.0,0,0,0,0
3.sql,false,521,417,68,9,27,210,207,0,0,0,0,0,577,0,0,0,0,90026,0.0,0.0,0.0,0,0,0,0
21.sql,true,805,573,227,3,2,127,446,0,0,0,0,0,774,0,0,0,0,12426,0.0,0.0,0.0,0,0,0,0
21.sql,false,691,581,105,3,2,128,453,0,0,0,0,0,727,0,0,0,0,12426,0.0,0.0,0.0,0,0,0,0
20.sql,true,7,7,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,6491,0.0,0.0,0.0,0,0,0,0
