Query,IsWarmup,Millis,PreMillis,JoinMillis,MatMillis,PostMillis,FilterMillis,IndexMillis,GroupByMillis,AggregateMillis,HavingMillis,OrderMillis,Tuples,Samples,Lookups,NrIndexEntries,nrUniqueLookups,NrPlans,JoinCard,AvgReward,MaxReward,TotalWork,DataSize,UctSize,StateSize,JoinSize
q21.sql,true,21754,2702,770,51,14,378,2324,0,0,0,0,0,991,0,0,0,0,39445,0.0,0.0,0.0,0,0,0,0
q21.sql,false,2768,1322,1429,12,5,360,962,0,0,0,0,0,876,0,0,0,0,39445,0.0,0.0,0.0,0,0,0,0
q20.sql,true,12,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,21999,0.0,0.0,0.0,0,0,0,0
q20.sql,true,463,79,0,0,384,78,1,0,0,0,0,0,0,0,0,0,0,9099165,0.0,0.0,0.0,0,0,0,0
q20.sql,true,1508,1054,439,15,0,0,1054,0,0,0,0,0,2175,0,0,0,0,59593,0.0,0.0,0.0,0,0,0,0
q20.sql,true,14,7,4,1,2,2,5,0,1,0,1,0,7,0,0,0,0,1800,0.0,0.0,0.0,0,0,0,0
q20.sql,false,13,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,21999,0.0,0.0,0.0,0,0,0,0
q20.sql,false,402,46,0,0,356,46,0,0,0,0,0,0,0,0,0,0,0,9099165,0.0,0.0,0.0,0,0,0,0
q20.sql,false,1205,1033,153,19,0,0,1033,0,0,0,0,0,2514,0,0,0,0,59593,0.0,0.0,0.0,0,0,0,0
q20.sql,false,11,7,2,1,1,2,5,0,0,0,1,0,13,0,0,0,0,1800,0.0,0.0,0.0,0,0,0,0
q19.sql,true,1880,1706,153,2,19,325,1381,0,19,0,0,0,785,0,0,0,0,1117,0.0,0.0,0.0,0,0,0,0
q19.sql,false,1413,1367,43,1,2,293,1074,0,2,0,0,0,790,0,0,0,0,1117,0.0,0.0,0.0,0,0,0,0
q18.sql,true,414,0,0,0,414,0,0,0,0,0,0,0,0,0,0,0,0,59986052,0.0,0.0,0.0,0,0,0,0
q18.sql,true,145,0,138,1,6,0,0,0,0,0,0,0,4234,0,0,0,0,693,0.0,0.0,0.0,0,0,0,0
q18.sql,false,414,0,0,0,414,0,0,0,0,0,0,0,0,0,0,0,0,59986052,0.0,0.0,0.0,0,0,0,0
q18.sql,false,146,0,141,1,3,0,0,0,0,0,0,0,4281,0,0,0,0,693,0.0,0.0,0.0,0,0,0,0
q17.sql,true,173,0,0,0,173,0,0,0,173,0,0,0,0,0,0,0,0,59986052,0.0,0.0,0.0,0,0,0,0
q17.sql,true,176,142,29,4,1,3,139,0,1,0,0,0,16,0,0,0,0,5380,0.0,0.0,0.0,0,0,0,0
q17.sql,false,58,0,0,0,58,0,0,0,58,0,0,0,0,0,0,0,0,59986052,0.0,0.0,0.0,0,0,0,0
q17.sql,false,156,148,4,3,1,6,142,0,1,0,0,0,17,0,0,0,0,5380,0.0,0.0,0.0,0,0,0,0
q16.sql,true,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,56,0.0,0.0,0.0,0,0,0,0
q16.sql,true,1450,1,248,759,442,0,1,0,442,0,0,0,2136,0,0,0,0,7995520,0.0,0.0,0.0,0,0,0,0
q16.sql,false,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,56,0.0,0.0,0.0,0,0,0,0
q16.sql,false,941,0,147,669,125,0,0,0,125,0,0,0,2133,0,0,0,0,7995520,0.0,0.0,0.0,0,0,0,0
q14.sql,true,729,204,22,205,298,192,12,0,298,0,0,0,289,0,0,0,0,772831,0.0,0.0,0.0,0,0,0,0
q14.sql,false,436,255,20,71,90,243,12,0,90,0,0,0,284,0,0,0,0,772831,0.0,0.0,0.0,0,0,0,0
q12.sql,true,488,74,186,134,94,72,2,4,68,22,0,0,78,0,0,0,0,311400,0.0,0.0,0.0,0,0,0,0
q12.sql,false,223,73,18,27,105,71,2,6,88,11,0,0,113,0,0,0,0,311400,0.0,0.0,0.0,0,0,0,0
q11.sql,true,77,2,10,27,38,2,0,0,38,0,0,0,32,0,0,0,0,320560,0.0,0.0,0.0,0,0,0,0
q11.sql,true,83,2,45,27,9,2,0,0,38,0,0,0,36,0,0,0,0,320560,0.0,0.0,0.0,0,0,0,0
q11.sql,false,187,1,139,25,22,1,0,0,22,0,0,0,37,0,0,0,0,320560,0.0,0.0,0.0,0,0,0,0
q11.sql,false,50,1,12,29,8,1,0,0,22,0,0,0,83,0,0,0,0,320560,0.0,0.0,0.0,0,0,0,0
q10.sql,true,774,155,51,107,461,80,75,0,0,0,0,0,575,0,0,0,0,1120704,0.0,0.0,0.0,0,0,0,0
q10.sql,false,736,152,55,106,423,91,61,0,0,0,0,0,587,0,0,0,0,1120704,0.0,0.0,0.0,0,0,0,0
